Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,0.550000,0.550000,0.550000,0.550000,0.550000,100
2020-07-02,35.000000,36.889999,29.110001,29.700001,29.700001,8507600
2020-07-06,31.000000,31.179001,28.680000,30.000000,30.000000,1781400
2020-07-07,30.299999,30.850000,29.440001,30.150000,30.150000,852100
2020-07-08,30.250000,34.570000,30.080000,34.310001,34.310001,1392800
2020-07-09,33.959999,35.500000,32.939999,34.000000,34.000000,1856300
2020-07-10,33.750000,35.330002,33.070000,34.900002,34.900002,488200
2020-07-13,35.360001,35.970001,32.720001,32.990002,32.990002,544800
2020-07-14,32.990002,32.990002,30.320000,31.540001,31.540001,855500
2020-07-15,32.000000,32.490002,31.100000,32.410000,32.410000,569200
2020-07-16,32.009998,32.470001,31.330000,32.209999,32.209999,423000
2020-07-17,31.969999,33.840000,31.219999,33.619999,33.619999,262800
2020-07-20,33.970001,33.970001,31.969999,32.720001,32.720001,161600
2020-07-21,32.520000,33.639999,32.000000,32.279999,32.279999,187600
2020-07-22,31.910000,32.490002,31.476999,32.209999,32.209999,199500
2020-07-23,31.889999,33.441002,31.700001,32.540001,32.540001,163400
2020-07-24,32.009998,33.290001,31.709999,32.939999,32.939999,188300
2020-07-27,33.500000,35.389999,32.939999,35.189999,35.189999,370500
2020-07-28,35.299999,35.301998,33.200001,33.669998,33.669998,103500
2020-07-29,33.730000,36.720001,33.450001,35.500000,35.500000,169100
2020-07-30,35.490002,35.637001,32.689999,33.689999,33.689999,148700
2020-07-31,33.660000,34.445999,32.013000,32.439999,32.439999,134500
2020-08-03,32.570000,33.860001,32.349998,33.029999,33.029999,113000
2020-08-04,32.779999,35.847000,32.450001,34.580002,34.580002,207300
2020-08-05,34.610001,38.700001,34.610001,37.970001,37.970001,327300
2020-08-06,37.970001,42.200001,37.970001,41.340000,41.340000,545000
2020-08-07,41.400002,41.799999,36.904999,37.000000,37.000000,279800
2020-08-10,37.200001,38.480000,37.200001,37.520000,37.520000,140800
2020-08-11,37.299999,38.289001,34.520000,36.150002,36.150002,221400
2020-08-12,36.570000,38.000000,36.230000,37.630001,37.630001,105300
2020-08-13,37.150002,37.667000,36.549999,37.270000,37.270000,117800
2020-08-14,38.000000,39.000000,34.919998,36.810001,36.810001,307000
2020-08-17,36.950001,38.990002,36.450001,37.900002,37.900002,191500
2020-08-18,38.090000,39.639999,37.439999,37.480000,37.480000,396900
2020-08-19,37.580002,39.750000,37.580002,38.740002,38.740002,137700
2020-08-20,38.660000,40.599998,38.000000,39.970001,39.970001,172700
2020-08-21,39.849998,40.849998,39.209999,39.689999,39.689999,161500
2020-08-24,40.200001,41.740002,39.560001,40.139999,40.139999,280500
2020-08-25,40.259998,41.494999,37.075001,38.230000,38.230000,191000
2020-08-26,39.660000,39.660000,35.450001,36.000000,36.000000,595700
2020-08-27,36.410000,37.210999,35.250000,35.279999,35.279999,424900
